,F,D,I,B,M,B,K,B,I,D,G,O,G,D,F
F,0,1,2,3,4,3,4,3,2,1,2,3,2,1,0
D,1,0,1,2,3,2,3,2,1,0,1,2,1,0,1
I,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2
B,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3
M,4,3,2,1,0,1,2,1,2,3,4,5,4,3,4
B,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3
K,4,3,2,1,2,1,0,1,2,3,4,5,4,3,4
B,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3
I,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2
D,1,0,1,2,3,2,3,2,1,0,1,2,1,0,1
G,2,1,2,3,4,3,4,3,2,1,0,1,0,1,2
O,3,2,3,4,5,4,5,4,3,2,1,0,1,2,3
G,2,1,2,3,4,3,4,3,2,1,0,1,0,1,2
D,1,0,1,2,3,2,3,2,1,0,1,2,1,0,1
F,0,1,2,3,4,3,4,3,2,1,2,3,2,1,0
