,O,G,D,F,D,I,B,K,B,M,B,I,D,G,O
O,0,1,2,3,2,3,4,5,4,5,4,3,2,1,0
G,1,0,1,2,1,2,3,4,3,4,3,2,1,0,1
D,2,1,0,1,0,1,2,3,2,3,2,1,0,1,2
F,3,2,1,0,1,2,3,4,3,4,3,2,1,2,3
D,2,1,0,1,0,1,2,3,2,3,2,1,0,1,2
I,3,2,1,2,1,0,1,2,1,2,1,0,1,2,3
B,4,3,2,3,2,1,0,1,0,1,0,1,2,3,4
K,5,4,3,4,3,2,1,0,1,2,1,2,3,4,5
B,4,3,2,3,2,1,0,1,0,1,0,1,2,3,4
M,5,4,3,4,3,2,1,2,1,0,1,2,3,4,5
B,4,3,2,3,2,1,0,1,0,1,0,1,2,3,4
I,3,2,1,2,1,0,1,2,1,2,1,0,1,2,3
D,2,1,0,1,0,1,2,3,2,3,2,1,0,1,2
G,1,0,1,2,1,2,3,4,3,4,3,2,1,0,1
O,0,1,2,3,2,3,4,5,4,5,4,3,2,1,0
