,M,B,K,B,I,D,G,O,G,D,F,D,I,B,M
M,0,1,2,1,2,3,4,5,4,3,4,3,2,1,0
B,1,0,1,0,1,2,3,4,3,2,3,2,1,0,1
K,2,1,0,1,2,3,4,5,4,3,4,3,2,1,2
B,1,0,1,0,1,2,3,4,3,2,3,2,1,0,1
I,2,1,2,1,0,1,2,3,2,1,2,1,0,1,2
D,3,2,3,2,1,0,1,2,1,0,1,0,1,2,3
G,4,3,4,3,2,1,0,1,0,1,2,1,2,3,4
O,5,4,5,4,3,2,1,0,1,2,3,2,3,4,5
G,4,3,4,3,2,1,0,1,0,1,2,1,2,3,4
D,3,2,3,2,1,0,1,2,1,0,1,0,1,2,3
F,4,3,4,3,2,1,2,3,2,1,0,1,2,3,4
D,3,2,3,2,1,0,1,2,1,0,1,0,1,2,3
I,2,1,2,1,0,1,2,3,2,1,2,1,0,1,2
B,1,0,1,0,1,2,3,4,3,2,3,2,1,0,1
M,0,1,2,1,2,3,4,5,4,3,4,3,2,1,0
