,J,K,C,M,C,K,N,H,E,H,F,H,N,K,J
J,0,1,2,3,2,1,2,3,4,3,4,3,2,1,0
K,1,0,1,2,1,0,1,2,3,2,3,2,1,0,1
C,2,1,0,1,0,1,2,3,4,3,4,3,2,1,2
M,3,2,1,0,1,2,3,4,5,4,5,4,3,2,3
C,2,1,0,1,0,1,2,3,4,3,4,3,2,1,2
K,1,0,1,2,1,0,1,2,3,2,3,2,1,0,1
N,2,1,2,3,2,1,0,1,2,1,2,1,0,1,2
H,3,2,3,4,3,2,1,0,1,0,1,0,1,2,3
E,4,3,4,5,4,3,2,1,0,1,2,1,2,3,4
H,3,2,3,4,3,2,1,0,1,0,1,0,1,2,3
F,4,3,4,5,4,3,2,1,2,1,0,1,2,3,4
H,3,2,3,4,3,2,1,0,1,0,1,0,1,2,3
N,2,1,2,3,2,1,0,1,2,1,2,1,0,1,2
K,1,0,1,2,1,0,1,2,3,2,3,2,1,0,1
J,0,1,2,3,2,1,2,3,4,3,4,3,2,1,0
