,M,C,K,N,H,F,H,E,H,N,K,J,K,C,M
M,0,1,2,3,4,5,4,5,4,3,2,3,2,1,0
C,1,0,1,2,3,4,3,4,3,2,1,2,1,0,1
K,2,1,0,1,2,3,2,3,2,1,0,1,0,1,2
N,3,2,1,0,1,2,1,2,1,0,1,2,1,2,3
H,4,3,2,1,0,1,0,1,0,1,2,3,2,3,4
F,5,4,3,2,1,0,1,2,1,2,3,4,3,4,5
H,4,3,2,1,0,1,0,1,0,1,2,3,2,3,4
E,5,4,3,2,1,2,1,0,1,2,3,4,3,4,5
H,4,3,2,1,0,1,0,1,0,1,2,3,2,3,4
N,3,2,1,0,1,2,1,2,1,0,1,2,1,2,3
K,2,1,0,1,2,3,2,3,2,1,0,1,0,1,2
J,3,2,1,2,3,4,3,4,3,2,1,0,1,2,3
K,2,1,0,1,2,3,2,3,2,1,0,1,0,1,2
C,1,0,1,2,3,4,3,4,3,2,1,2,1,0,1
M,0,1,2,3,4,5,4,5,4,3,2,3,2,1,0
