,H,F,H,E,H,N,K,J,K,C,M,C,K,N,H
H,0,1,0,1,0,1,2,3,2,3,4,3,2,1,0
F,1,0,1,2,1,2,3,4,3,4,5,4,3,2,1
H,0,1,0,1,0,1,2,3,2,3,4,3,2,1,0
E,1,2,1,0,1,2,3,4,3,4,5,4,3,2,1
H,0,1,0,1,0,1,2,3,2,3,4,3,2,1,0
N,1,2,1,2,1,0,1,2,1,2,3,2,1,0,1
K,2,3,2,3,2,1,0,1,0,1,2,1,0,1,2
J,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3
K,2,3,2,3,2,1,0,1,0,1,2,1,0,1,2
C,3,4,3,4,3,2,1,2,1,0,1,0,1,2,3
M,4,5,4,5,4,3,2,3,2,1,0,1,2,3,4
C,3,4,3,4,3,2,1,2,1,0,1,0,1,2,3
K,2,3,2,3,2,1,0,1,0,1,2,1,0,1,2
N,1,2,1,2,1,0,1,2,1,2,3,2,1,0,1
H,0,1,0,1,0,1,2,3,2,3,4,3,2,1,0
