,D,J,R,H,F,H,E,H,R,N,L,Q,C,Q,L
D,0,1,2,3,4,3,4,3,2,3,4,5,6,5,4
J,1,0,1,2,3,2,3,2,1,2,3,4,5,4,3
R,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2
H,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3
F,4,3,2,1,0,1,2,1,2,3,4,5,6,5,4
H,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3
E,4,3,2,1,2,1,0,1,2,3,4,5,6,5,4
H,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3
R,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2
N,3,2,1,2,3,2,3,2,1,0,1,2,3,2,1
L,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0
Q,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1
C,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2
Q,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1
L,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0
