,G,C,J,N,J,R,J,C,I,M,I,L,I,C,G,A,O,A
G,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,1
C,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,2
J,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,3
N,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,4
J,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,3
R,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4
J,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,3
C,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,2
I,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,3
M,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,4
I,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,3
L,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,4
I,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,3
C,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,2
G,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,1
A,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,0
O,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1
A,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,0
