,A,F,H,B,E,M,D,K,J,G,L,N,O,C,I
A,0.0,4.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0
F,4.0,0.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,5.0
H,1.0,3.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0
B,3.0,3.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0
E,3.0,3.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0
M,3.0,1.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0
D,2.0,4.0,1.0,3.0,3.0,3.0,0.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0
K,4.0,4.0,3.0,1.0,3.0,3.0,4.0,0.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0
J,4.0,4.0,3.0,1.0,3.0,3.0,4.0,2.0,0.0,2.0,4.0,4.0,4.0,3.0,1.0
G,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0
L,4.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,0.0,2.0,4.0,5.0,5.0
N,4.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,0.0,4.0,5.0,5.0
O,4.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,5.0,5.0
C,5.0,5.0,4.0,2.0,4.0,4.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,0.0,4.0
I,5.0,5.0,4.0,2.0,4.0,4.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,4.0,0.0
