,J,F,R,D,R,N,R,F,J,P,G,P,Q,P,J,O,B,O
J,0,1,2,3,2,3,2,1,0,1,2,1,2,1,0,1,2,1
F,1,0,1,2,1,2,1,0,1,2,3,2,3,2,1,2,3,2
R,2,1,0,1,0,1,0,1,2,3,4,3,4,3,2,3,4,3
D,3,2,1,0,1,2,1,2,3,4,5,4,5,4,3,4,5,4
R,2,1,0,1,0,1,0,1,2,3,4,3,4,3,2,3,4,3
N,3,2,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4
R,2,1,0,1,0,1,0,1,2,3,4,3,4,3,2,3,4,3
F,1,0,1,2,1,2,1,0,1,2,3,2,3,2,1,2,3,2
J,0,1,2,3,2,3,2,1,0,1,2,1,2,1,0,1,2,1
P,1,2,3,4,3,4,3,2,1,0,1,0,1,0,1,2,3,2
G,2,3,4,5,4,5,4,3,2,1,0,1,2,1,2,3,4,3
P,1,2,3,4,3,4,3,2,1,0,1,0,1,0,1,2,3,2
Q,2,3,4,5,4,5,4,3,2,1,2,1,0,1,2,3,4,3
P,1,2,3,4,3,4,3,2,1,0,1,0,1,0,1,2,3,2
J,0,1,2,3,2,3,2,1,0,1,2,1,2,1,0,1,2,1
O,1,2,3,4,3,4,3,2,1,2,3,2,3,2,1,0,1,0
B,2,3,4,5,4,5,4,3,2,3,4,3,4,3,2,1,0,1
O,1,2,3,4,3,4,3,2,1,2,3,2,3,2,1,0,1,0
