,B,O,J,P,Q,P,G,P,J,F,R,N,R,D,R,F,J,O
B,0,1,2,3,4,3,4,3,2,3,4,5,4,5,4,3,2,1
O,1,0,1,2,3,2,3,2,1,2,3,4,3,4,3,2,1,0
J,2,1,0,1,2,1,2,1,0,1,2,3,2,3,2,1,0,1
P,3,2,1,0,1,0,1,0,1,2,3,4,3,4,3,2,1,2
Q,4,3,2,1,0,1,2,1,2,3,4,5,4,5,4,3,2,3
P,3,2,1,0,1,0,1,0,1,2,3,4,3,4,3,2,1,2
G,4,3,2,1,2,1,0,1,2,3,4,5,4,5,4,3,2,3
P,3,2,1,0,1,0,1,0,1,2,3,4,3,4,3,2,1,2
J,2,1,0,1,2,1,2,1,0,1,2,3,2,3,2,1,0,1
F,3,2,1,2,3,2,3,2,1,0,1,2,1,2,1,0,1,2
R,4,3,2,3,4,3,4,3,2,1,0,1,0,1,0,1,2,3
N,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,2,3,4
R,4,3,2,3,4,3,4,3,2,1,0,1,0,1,0,1,2,3
D,5,4,3,4,5,4,5,4,3,2,1,2,1,0,1,2,3,4
R,4,3,2,3,4,3,4,3,2,1,0,1,0,1,0,1,2,3
F,3,2,1,2,3,2,3,2,1,0,1,2,1,2,1,0,1,2
J,2,1,0,1,2,1,2,1,0,1,2,3,2,3,2,1,0,1
O,1,0,1,2,3,2,3,2,1,2,3,4,3,4,3,2,1,0
