,C,E,B,A,K,H,D,L,I,J,G,N,O,F,M
C,0.0,1.0,5.0,4.0,2.0,4.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,5.0,6.0
E,1.0,0.0,4.0,3.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0
B,5.0,4.0,0.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,3.0
A,4.0,3.0,3.0,0.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0
K,2.0,1.0,3.0,2.0,0.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,4.0
H,4.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0
D,6.0,5.0,3.0,4.0,4.0,2.0,0.0,4.0,4.0,5.0,5.0,3.0,5.0,1.0,2.0
L,6.0,5.0,1.0,4.0,4.0,2.0,4.0,0.0,2.0,5.0,5.0,3.0,5.0,3.0,4.0
I,6.0,5.0,1.0,4.0,4.0,2.0,4.0,2.0,0.0,5.0,5.0,3.0,5.0,3.0,4.0
J,5.0,4.0,4.0,1.0,3.0,3.0,5.0,5.0,5.0,0.0,2.0,2.0,4.0,4.0,5.0
G,5.0,4.0,4.0,1.0,3.0,3.0,5.0,5.0,5.0,2.0,0.0,2.0,4.0,4.0,5.0
N,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0
O,3.0,2.0,4.0,3.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,0.0,4.0,5.0
F,5.0,4.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,0.0,1.0
M,6.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,3.0,5.0,1.0,0.0
