,D,P,C,B,C,O,C,P,Q,M,Q,A,Q,P,D
D,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0
P,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1
C,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2
B,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3
C,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2
O,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3
C,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2
P,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1
Q,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2
M,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3
Q,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2
A,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3
Q,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2
P,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1
D,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0
