,A,B,N,J,F,E,G,D,C,M,K,I,H,L,O
A,0.0,3.0,1.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,6.0,5.0,5.0,3.0,5.0
B,3.0,0.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0
N,1.0,2.0,0.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,4.0,4.0,2.0,4.0
J,5.0,4.0,4.0,0.0,5.0,3.0,5.0,3.0,5.0,1.0,3.0,4.0,4.0,2.0,2.0
F,4.0,1.0,3.0,5.0,0.0,4.0,2.0,2.0,4.0,4.0,6.0,5.0,5.0,3.0,5.0
E,4.0,3.0,3.0,3.0,4.0,0.0,4.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0
G,4.0,1.0,3.0,5.0,2.0,4.0,0.0,2.0,4.0,4.0,6.0,5.0,5.0,3.0,5.0
D,2.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0
C,2.0,3.0,1.0,5.0,4.0,4.0,4.0,2.0,0.0,4.0,6.0,5.0,5.0,3.0,5.0
M,4.0,3.0,3.0,1.0,4.0,2.0,4.0,2.0,4.0,0.0,2.0,3.0,3.0,1.0,1.0
K,6.0,5.0,5.0,3.0,6.0,4.0,6.0,4.0,6.0,2.0,0.0,5.0,5.0,3.0,1.0
I,5.0,4.0,4.0,4.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,0.0,2.0,2.0,4.0
H,5.0,4.0,4.0,4.0,5.0,1.0,5.0,3.0,5.0,3.0,5.0,2.0,0.0,2.0,4.0
L,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,2.0
O,5.0,4.0,4.0,2.0,5.0,3.0,5.0,3.0,5.0,1.0,1.0,4.0,4.0,2.0,0.0
