,H,C,O,I,O,B,O,C,Q,D,Q,J,Q,C,H,K
H,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1
C,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2
O,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3
I,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4
O,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3
B,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4
O,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3
C,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2
Q,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3
D,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4
Q,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3
J,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4
Q,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3
C,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2
H,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1
K,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0
