,M,K,P,R,N,R,P,L,P,K,M,S,A,S,E,S,M
M,0,1,2,3,4,3,2,3,2,1,0,1,2,1,2,1,0
K,1,0,1,2,3,2,1,2,1,0,1,2,3,2,3,2,1
P,2,1,0,1,2,1,0,1,0,1,2,3,4,3,4,3,2
R,3,2,1,0,1,0,1,2,1,2,3,4,5,4,5,4,3
N,4,3,2,1,0,1,2,3,2,3,4,5,6,5,6,5,4
R,3,2,1,0,1,0,1,2,1,2,3,4,5,4,5,4,3
P,2,1,0,1,2,1,0,1,0,1,2,3,4,3,4,3,2
L,3,2,1,2,3,2,1,0,1,2,3,4,5,4,5,4,3
P,2,1,0,1,2,1,0,1,0,1,2,3,4,3,4,3,2
K,1,0,1,2,3,2,1,2,1,0,1,2,3,2,3,2,1
M,0,1,2,3,4,3,2,3,2,1,0,1,2,1,2,1,0
S,1,2,3,4,5,4,3,4,3,2,1,0,1,0,1,0,1
A,2,3,4,5,6,5,4,5,4,3,2,1,0,1,2,1,2
S,1,2,3,4,5,4,3,4,3,2,1,0,1,0,1,0,1
E,2,3,4,5,6,5,4,5,4,3,2,1,2,1,0,1,2
S,1,2,3,4,5,4,3,4,3,2,1,0,1,0,1,0,1
M,0,1,2,3,4,3,2,3,2,1,0,1,2,1,2,1,0
