,A,S,E,S,M,F,G,F,M,K,P,R,N,R,P,L,P,K,M
A,0,1,2,1,2,3,4,3,2,3,4,5,6,5,4,5,4,3,2
S,1,0,1,0,1,2,3,2,1,2,3,4,5,4,3,4,3,2,1
E,2,1,0,1,2,3,4,3,2,3,4,5,6,5,4,5,4,3,2
S,1,0,1,0,1,2,3,2,1,2,3,4,5,4,3,4,3,2,1
M,2,1,2,1,0,1,2,1,0,1,2,3,4,3,2,3,2,1,0
F,3,2,3,2,1,0,1,0,1,2,3,4,5,4,3,4,3,2,1
G,4,3,4,3,2,1,0,1,2,3,4,5,6,5,4,5,4,3,2
F,3,2,3,2,1,0,1,0,1,2,3,4,5,4,3,4,3,2,1
M,2,1,2,1,0,1,2,1,0,1,2,3,4,3,2,3,2,1,0
K,3,2,3,2,1,2,3,2,1,0,1,2,3,2,1,2,1,0,1
P,4,3,4,3,2,3,4,3,2,1,0,1,2,1,0,1,0,1,2
R,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,2,1,2,3
N,6,5,6,5,4,5,6,5,4,3,2,1,0,1,2,3,2,3,4
R,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,2,1,2,3
P,4,3,4,3,2,3,4,3,2,1,0,1,2,1,0,1,0,1,2
L,5,4,5,4,3,4,5,4,3,2,1,2,3,2,1,0,1,2,3
P,4,3,4,3,2,3,4,3,2,1,0,1,2,1,0,1,0,1,2
K,3,2,3,2,1,2,3,2,1,0,1,2,3,2,1,2,1,0,1
M,2,1,2,1,0,1,2,1,0,1,2,3,4,3,2,3,2,1,0
