,F,G,F,M,S,A,S,E,S,M,K,P,L,P,R,N,R,P,K
F,0,1,0,1,2,3,2,3,2,1,2,3,4,3,4,5,4,3,2
G,1,0,1,2,3,4,3,4,3,2,3,4,5,4,5,6,5,4,3
F,0,1,0,1,2,3,2,3,2,1,2,3,4,3,4,5,4,3,2
M,1,2,1,0,1,2,1,2,1,0,1,2,3,2,3,4,3,2,1
S,2,3,2,1,0,1,0,1,0,1,2,3,4,3,4,5,4,3,2
A,3,4,3,2,1,0,1,2,1,2,3,4,5,4,5,6,5,4,3
S,2,3,2,1,0,1,0,1,0,1,2,3,4,3,4,5,4,3,2
E,3,4,3,2,1,2,1,0,1,2,3,4,5,4,5,6,5,4,3
S,2,3,2,1,0,1,0,1,0,1,2,3,4,3,4,5,4,3,2
M,1,2,1,0,1,2,1,2,1,0,1,2,3,2,3,4,3,2,1
K,2,3,2,1,2,3,2,3,2,1,0,1,2,1,2,3,2,1,0
P,3,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,0,1
L,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,3,2,1,2
P,3,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,0,1
R,4,5,4,3,4,5,4,5,4,3,2,1,2,1,0,1,0,1,2
N,5,6,5,4,5,6,5,6,5,4,3,2,3,2,1,0,1,2,3
R,4,5,4,3,4,5,4,5,4,3,2,1,2,1,0,1,0,1,2
P,3,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,0,1
K,2,3,2,1,2,3,2,3,2,1,0,1,2,1,2,3,2,1,0
