,G,H,G,O,N,O,D,J,C,J,K,J,D,O,G
G,0,1,0,1,2,1,2,3,4,3,4,3,2,1,0
H,1,0,1,2,3,2,3,4,5,4,5,4,3,2,1
G,0,1,0,1,2,1,2,3,4,3,4,3,2,1,0
O,1,2,1,0,1,0,1,2,3,2,3,2,1,0,1
N,2,3,2,1,0,1,2,3,4,3,4,3,2,1,2
O,1,2,1,0,1,0,1,2,3,2,3,2,1,0,1
D,2,3,2,1,2,1,0,1,2,1,2,1,0,1,2
J,3,4,3,2,3,2,1,0,1,0,1,0,1,2,3
C,4,5,4,3,4,3,2,1,0,1,2,1,2,3,4
J,3,4,3,2,3,2,1,0,1,0,1,0,1,2,3
K,4,5,4,3,4,3,2,1,2,1,0,1,2,3,4
J,3,4,3,2,3,2,1,0,1,0,1,0,1,2,3
D,2,3,2,1,2,1,0,1,2,1,2,1,0,1,2
O,1,2,1,0,1,0,1,2,3,2,3,2,1,0,1
G,0,1,0,1,2,1,2,3,4,3,4,3,2,1,0
