,A,B,E,D,C,F,H,G,N,K,I,M,J,L,O
A,0.0,4.0,6.0,1.0,3.0,5.0,2.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0
B,4.0,0.0,6.0,3.0,1.0,5.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,5.0,5.0
E,6.0,6.0,0.0,5.0,5.0,1.0,6.0,4.0,6.0,2.0,3.0,3.0,4.0,5.0,5.0
D,1.0,3.0,5.0,0.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0
C,3.0,1.0,5.0,2.0,0.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0
F,5.0,5.0,1.0,4.0,4.0,0.0,5.0,3.0,5.0,1.0,2.0,2.0,3.0,4.0,4.0
H,2.0,4.0,6.0,1.0,3.0,5.0,0.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0
G,2.0,2.0,4.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0
N,4.0,2.0,6.0,3.0,1.0,5.0,4.0,2.0,0.0,4.0,3.0,5.0,4.0,5.0,5.0
K,4.0,4.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,0.0,1.0,1.0,2.0,3.0,3.0
I,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0
M,5.0,5.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,1.0,2.0,0.0,3.0,4.0,4.0
J,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0
L,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,2.0,4.0,1.0,0.0,2.0
O,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,2.0,4.0,1.0,2.0,0.0
