,G,L,S,Q,S,B,S,L,F,R,F,N,F,L,G
G,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0
L,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1
S,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2
Q,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3
S,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2
B,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3
S,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2
L,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1
F,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2
R,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3
F,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2
N,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3
F,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2
L,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1
G,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0
