,A,B,E,C,H,L,K,N,F,I,M,G,D,J,O
A,0.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
B,4.0,0.0,5.0,3.0,1.0,6.0,6.0,4.0,2.0,7.0,7.0,7.0,5.0,5.0,3.0
E,1.0,5.0,0.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0
C,1.0,3.0,2.0,0.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0
H,3.0,1.0,4.0,2.0,0.0,5.0,5.0,3.0,1.0,6.0,6.0,6.0,4.0,4.0,2.0
L,2.0,6.0,1.0,3.0,5.0,0.0,2.0,4.0,4.0,1.0,3.0,3.0,5.0,5.0,5.0
K,2.0,6.0,1.0,3.0,5.0,2.0,0.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,5.0
N,2.0,4.0,3.0,1.0,3.0,4.0,4.0,0.0,2.0,5.0,5.0,5.0,1.0,1.0,3.0
F,2.0,2.0,3.0,1.0,1.0,4.0,4.0,2.0,0.0,5.0,5.0,5.0,3.0,3.0,1.0
I,3.0,7.0,2.0,4.0,6.0,1.0,3.0,5.0,5.0,0.0,4.0,4.0,6.0,6.0,6.0
M,3.0,7.0,2.0,4.0,6.0,3.0,1.0,5.0,5.0,4.0,0.0,2.0,6.0,6.0,6.0
G,3.0,7.0,2.0,4.0,6.0,3.0,1.0,5.0,5.0,4.0,2.0,0.0,6.0,6.0,6.0
D,3.0,5.0,4.0,2.0,4.0,5.0,5.0,1.0,3.0,6.0,6.0,6.0,0.0,2.0,4.0
J,3.0,5.0,4.0,2.0,4.0,5.0,5.0,1.0,3.0,6.0,6.0,6.0,2.0,0.0,4.0
O,3.0,3.0,4.0,2.0,2.0,5.0,5.0,3.0,1.0,6.0,6.0,6.0,4.0,4.0,0.0
