,J,A,I,E,I,A,N,O,R,O,F,O,N,A,J,H,J,M
J,0,1,2,3,2,1,2,3,4,3,4,3,2,1,0,1,0,1
A,1,0,1,2,1,0,1,2,3,2,3,2,1,0,1,2,1,2
I,2,1,0,1,0,1,2,3,4,3,4,3,2,1,2,3,2,3
E,3,2,1,0,1,2,3,4,5,4,5,4,3,2,3,4,3,4
I,2,1,0,1,0,1,2,3,4,3,4,3,2,1,2,3,2,3
A,1,0,1,2,1,0,1,2,3,2,3,2,1,0,1,2,1,2
N,2,1,2,3,2,1,0,1,2,1,2,1,0,1,2,3,2,3
O,3,2,3,4,3,2,1,0,1,0,1,0,1,2,3,4,3,4
R,4,3,4,5,4,3,2,1,0,1,2,1,2,3,4,5,4,5
O,3,2,3,4,3,2,1,0,1,0,1,0,1,2,3,4,3,4
F,4,3,4,5,4,3,2,1,2,1,0,1,2,3,4,5,4,5
O,3,2,3,4,3,2,1,0,1,0,1,0,1,2,3,4,3,4
N,2,1,2,3,2,1,0,1,2,1,2,1,0,1,2,3,2,3
A,1,0,1,2,1,0,1,2,3,2,3,2,1,0,1,2,1,2
J,0,1,2,3,2,1,2,3,4,3,4,3,2,1,0,1,0,1
H,1,2,3,4,3,2,3,4,5,4,5,4,3,2,1,0,1,2
J,0,1,2,3,2,1,2,3,4,3,4,3,2,1,0,1,0,1
M,1,2,3,4,3,2,3,4,5,4,5,4,3,2,1,2,1,0
