,F,O,N,A,I,E,I,A,J,H,J,M,J,A,N,O
F,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,1
O,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,0
N,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1
A,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2
I,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3
E,5,4,3,2,1,0,1,2,3,4,3,4,3,2,3,4
I,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3
A,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2
J,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3
H,5,4,3,2,3,4,3,2,1,0,1,2,1,2,3,4
J,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3
M,5,4,3,2,3,4,3,2,1,2,1,0,1,2,3,4
J,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3
A,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2
N,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1
O,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,0
