,A,N,J,H,D,I,B,M,F,L,O,K,C,E,G
A,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
N,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
J,3.0,2.0,0.0,4.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
H,1.0,2.0,4.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0
D,1.0,2.0,4.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0
I,1.0,2.0,4.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0
B,2.0,1.0,3.0,3.0,3.0,3.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0
M,2.0,1.0,1.0,3.0,3.0,3.0,2.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
F,2.0,3.0,5.0,1.0,3.0,3.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,4.0,5.0
L,2.0,3.0,5.0,1.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,4.0,4.0,4.0,5.0
O,2.0,3.0,5.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,5.0
K,2.0,3.0,5.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,5.0
C,2.0,3.0,5.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,5.0
E,2.0,3.0,5.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,5.0
G,3.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
