,G,P,I,P,B,A,O,H,O,A,D,C,D,A,B,P,G
G,0,1,2,1,2,3,4,5,4,3,4,5,4,3,2,1,0
P,1,0,1,0,1,2,3,4,3,2,3,4,3,2,1,0,1
I,2,1,0,1,2,3,4,5,4,3,4,5,4,3,2,1,2
P,1,0,1,0,1,2,3,4,3,2,3,4,3,2,1,0,1
B,2,1,2,1,0,1,2,3,2,1,2,3,2,1,0,1,2
A,3,2,3,2,1,0,1,2,1,0,1,2,1,0,1,2,3
O,4,3,4,3,2,1,0,1,0,1,2,3,2,1,2,3,4
H,5,4,5,4,3,2,1,0,1,2,3,4,3,2,3,4,5
O,4,3,4,3,2,1,0,1,0,1,2,3,2,1,2,3,4
A,3,2,3,2,1,0,1,2,1,0,1,2,1,0,1,2,3
D,4,3,4,3,2,1,2,3,2,1,0,1,0,1,2,3,4
C,5,4,5,4,3,2,3,4,3,2,1,0,1,2,3,4,5
D,4,3,4,3,2,1,2,3,2,1,0,1,0,1,2,3,4
A,3,2,3,2,1,0,1,2,1,0,1,2,1,0,1,2,3
B,2,1,2,1,0,1,2,3,2,1,2,3,2,1,0,1,2
P,1,0,1,0,1,2,3,4,3,2,3,4,3,2,1,0,1
G,0,1,2,1,2,3,4,5,4,3,4,5,4,3,2,1,0
