,D,C,D,A,B,P,G,P,I,P,B,A,O,H,O,A,D
D,0,1,0,1,2,3,4,3,4,3,2,1,2,3,2,1,0
C,1,0,1,2,3,4,5,4,5,4,3,2,3,4,3,2,1
D,0,1,0,1,2,3,4,3,4,3,2,1,2,3,2,1,0
A,1,2,1,0,1,2,3,2,3,2,1,0,1,2,1,0,1
B,2,3,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2
P,3,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3
G,4,5,4,3,2,1,0,1,2,1,2,3,4,5,4,3,4
P,3,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3
I,4,5,4,3,2,1,2,1,0,1,2,3,4,5,4,3,4
P,3,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3
B,2,3,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2
A,1,2,1,0,1,2,3,2,3,2,1,0,1,2,1,0,1
O,2,3,2,1,2,3,4,3,4,3,2,1,0,1,0,1,2
H,3,4,3,2,3,4,5,4,5,4,3,2,1,0,1,2,3
O,2,3,2,1,2,3,4,3,4,3,2,1,0,1,0,1,2
A,1,2,1,0,1,2,3,2,3,2,1,0,1,2,1,0,1
D,0,1,0,1,2,3,4,3,4,3,2,1,2,3,2,1,0
