,H,O,A,B,P,I,P,G,P,B,A,D,C,D,A,O,H
H,0,1,2,3,4,5,4,5,4,3,2,3,4,3,2,1,0
O,1,0,1,2,3,4,3,4,3,2,1,2,3,2,1,0,1
A,2,1,0,1,2,3,2,3,2,1,0,1,2,1,0,1,2
B,3,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2,3
P,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3,4
I,5,4,3,2,1,0,1,2,1,2,3,4,5,4,3,4,5
P,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3,4
G,5,4,3,2,1,2,1,0,1,2,3,4,5,4,3,4,5
P,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3,4
B,3,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2,3
A,2,1,0,1,2,3,2,3,2,1,0,1,2,1,0,1,2
D,3,2,1,2,3,4,3,4,3,2,1,0,1,0,1,2,3
C,4,3,2,3,4,5,4,5,4,3,2,1,0,1,2,3,4
D,3,2,1,2,3,4,3,4,3,2,1,0,1,0,1,2,3
A,2,1,0,1,2,3,2,3,2,1,0,1,2,1,0,1,2
O,1,0,1,2,3,4,3,4,3,2,1,2,3,2,1,0,1
H,0,1,2,3,4,5,4,5,4,3,2,3,4,3,2,1,0
