,A,C,E,B,D,N,G,M,K,H,J,I,F,O,L
A,0.0,4.0,1.0,3.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,4.0,3.0,5.0,5.0
C,4.0,0.0,5.0,5.0,3.0,5.0,1.0,1.0,6.0,4.0,2.0,2.0,5.0,3.0,3.0
E,1.0,5.0,0.0,4.0,2.0,2.0,4.0,6.0,1.0,3.0,3.0,5.0,4.0,6.0,6.0
B,3.0,5.0,4.0,0.0,2.0,4.0,4.0,6.0,5.0,1.0,3.0,5.0,2.0,6.0,6.0
D,1.0,3.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,4.0
N,1.0,5.0,2.0,4.0,2.0,0.0,4.0,6.0,3.0,3.0,3.0,5.0,4.0,6.0,6.0
G,3.0,1.0,4.0,4.0,2.0,4.0,0.0,2.0,5.0,3.0,1.0,1.0,4.0,2.0,2.0
M,5.0,1.0,6.0,6.0,4.0,6.0,2.0,0.0,7.0,5.0,3.0,3.0,6.0,4.0,4.0
K,2.0,6.0,1.0,5.0,3.0,3.0,5.0,7.0,0.0,4.0,4.0,6.0,5.0,7.0,7.0
H,2.0,4.0,3.0,1.0,1.0,3.0,3.0,5.0,4.0,0.0,2.0,4.0,1.0,5.0,5.0
J,2.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,2.0,0.0,2.0,3.0,3.0,3.0
I,4.0,2.0,5.0,5.0,3.0,5.0,1.0,3.0,6.0,4.0,2.0,0.0,5.0,1.0,1.0
F,3.0,5.0,4.0,2.0,2.0,4.0,4.0,6.0,5.0,1.0,3.0,5.0,0.0,6.0,6.0
O,5.0,3.0,6.0,6.0,4.0,6.0,2.0,4.0,7.0,5.0,3.0,1.0,6.0,0.0,2.0
L,5.0,3.0,6.0,6.0,4.0,6.0,2.0,4.0,7.0,5.0,3.0,1.0,6.0,2.0,0.0
