,B,M,B,O,D,E,J,E,D,L,D,O,B,N,B
B,0,1,0,1,2,3,4,3,2,3,2,1,0,1,0
M,1,0,1,2,3,4,5,4,3,4,3,2,1,2,1
B,0,1,0,1,2,3,4,3,2,3,2,1,0,1,0
O,1,2,1,0,1,2,3,2,1,2,1,0,1,2,1
D,2,3,2,1,0,1,2,1,0,1,0,1,2,3,2
E,3,4,3,2,1,0,1,0,1,2,1,2,3,4,3
J,4,5,4,3,2,1,0,1,2,3,2,3,4,5,4
E,3,4,3,2,1,0,1,0,1,2,1,2,3,4,3
D,2,3,2,1,0,1,2,1,0,1,0,1,2,3,2
L,3,4,3,2,1,2,3,2,1,0,1,2,3,4,3
D,2,3,2,1,0,1,2,1,0,1,0,1,2,3,2
O,1,2,1,0,1,2,3,2,1,2,1,0,1,2,1
B,0,1,0,1,2,3,4,3,2,3,2,1,0,1,0
N,1,2,1,2,3,4,5,4,3,4,3,2,1,0,1
B,0,1,0,1,2,3,4,3,2,3,2,1,0,1,0
