,P,I,O,B,O,D,O,I,R,N,R,M,R,I,P,K,L,A
P,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3
I,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4
O,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5
B,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6
O,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5
D,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6
O,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5
I,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4
R,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5
N,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6
R,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5
M,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6
R,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5
I,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4
P,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3
K,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2
L,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1
A,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0
