,D,L,D,E,J,E,D,O,B,N,B,M,B,O,D
D,0,1,0,1,2,1,0,1,2,3,2,3,2,1,0
L,1,0,1,2,3,2,1,2,3,4,3,4,3,2,1
D,0,1,0,1,2,1,0,1,2,3,2,3,2,1,0
E,1,2,1,0,1,0,1,2,3,4,3,4,3,2,1
J,2,3,2,1,0,1,2,3,4,5,4,5,4,3,2
E,1,2,1,0,1,0,1,2,3,4,3,4,3,2,1
D,0,1,0,1,2,1,0,1,2,3,2,3,2,1,0
O,1,2,1,2,3,2,1,0,1,2,1,2,1,0,1
B,2,3,2,3,4,3,2,1,0,1,0,1,0,1,2
N,3,4,3,4,5,4,3,2,1,0,1,2,1,2,3
B,2,3,2,3,4,3,2,1,0,1,0,1,0,1,2
M,3,4,3,4,5,4,3,2,1,2,1,0,1,2,3
B,2,3,2,3,4,3,2,1,0,1,0,1,0,1,2
O,1,2,1,2,3,2,1,0,1,2,1,2,1,0,1
D,0,1,0,1,2,1,0,1,2,3,2,3,2,1,0
