,H,K,N,K,J,K,H,A,O,A,D,A,H,F,L
H,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2
K,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3
N,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4
K,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3
J,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4
K,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3
H,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2
A,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3
O,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4
A,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3
D,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4
A,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3
H,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2
F,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1
L,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0
