,G,A,B,D,J,H,C,E,F,L,K,I,O,M,N
G,0.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,5.0
A,3.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0
B,3.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0
D,3.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0
J,1.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0
H,4.0,1.0,3.0,3.0,3.0,0.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0
C,4.0,1.0,3.0,3.0,3.0,2.0,0.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0
E,4.0,3.0,1.0,3.0,3.0,4.0,4.0,0.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0
F,4.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0,0.0,2.0,4.0,4.0,4.0,3.0,1.0
L,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0
K,4.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,0.0,2.0,4.0,5.0,5.0
I,4.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,4.0,5.0,5.0
O,2.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,0.0,5.0,5.0
M,5.0,4.0,2.0,4.0,4.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,0.0,4.0
N,5.0,4.0,2.0,4.0,4.0,5.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,4.0,0.0
