,K,J,B,J,G,J,K,P,E,P,I,P,K,O,T,D,T
K,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,2
J,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,3
B,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,4
J,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,3
G,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4
J,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,3
K,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,2
P,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,3
E,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,4
P,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,3
I,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,4
P,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,3
K,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,2
O,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,1
T,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,0
D,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1
T,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,0
