,Z,Q,E,Q,C,P,F,AB,S,AB,Y,AB,F,L,V,AD,V,L,O,L,F,P,C,I,M,I,U,I,C,Q,Z
Z,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,7,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0
Q,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1
E,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,7,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2
Q,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1
C,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2
P,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,4,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3
F,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4
AB,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5
S,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6
AB,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5
Y,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6
AB,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5
F,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4
L,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5
V,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6
AD,7,6,7,6,5,4,3,4,5,4,5,4,3,2,1,0,1,2,3,2,3,4,5,6,7,6,7,6,5,6,7
V,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6
L,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5
O,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6
L,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5
F,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4
P,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,4,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3
C,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2
I,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3
M,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,7,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4
I,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3
U,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,7,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4
I,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3
C,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2
Q,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1
Z,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,7,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0
