,L,O,L,F,AB,Y,AB,S,AB,F,P,C,Q,E,Q,Z,Q,C,I,M,I,U,I,C,P,F,L
L,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
O,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1
L,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
F,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
AB,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2
Y,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3
AB,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2
S,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3
AB,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2
F,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
P,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2
C,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
Q,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
E,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5
Q,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
Z,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5
Q,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
C,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
I,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
M,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5
I,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
U,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5
I,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
C,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
P,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2
F,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
L,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
