,Q,Z,Q,E,Q,C,P,F,AB,S,AB,Y,AB,F,L,V,AD,V,L,O,L,F,P,C,I,M,I,U,I,C,Q
Q,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0
Z,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,7,6,5,6,5,4,3,2,3,4,3,4,3,2,1
Q,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0
E,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,7,6,5,6,5,4,3,2,3,4,3,4,3,2,1
Q,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0
C,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1
P,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,4,3,2,3,2,1,0,1,2,3,2,3,2,1,2
F,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3
AB,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4
S,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4,5
AB,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4
Y,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4,5
AB,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4
F,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3
L,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4
V,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5
AD,6,7,6,7,6,5,4,3,4,5,4,5,4,3,2,1,0,1,2,3,2,3,4,5,6,7,6,7,6,5,6
V,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5
L,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4
O,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5
L,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4
F,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3
P,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,4,3,2,3,2,1,0,1,2,3,2,3,2,1,2
C,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1
I,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2
M,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,7,6,5,6,5,4,3,2,1,0,1,2,1,2,3
I,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2
U,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,7,6,5,6,5,4,3,2,1,2,1,0,1,2,3
I,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2
C,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1
Q,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0
