,A,K,B,AB,C,F,D,H,E,V,M,I,AA,G,J,R,Q,U,W,L,Z,AC,S,X,T,P,AD,O,Y,N
A,0.0,1.0,3.0,2.0,6.0,3.0,5.0,5.0,7.0,5.0,7.0,7.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
K,1.0,0.0,2.0,1.0,5.0,2.0,4.0,4.0,6.0,4.0,6.0,6.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
B,3.0,2.0,0.0,1.0,5.0,2.0,4.0,4.0,6.0,4.0,6.0,6.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
AB,2.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
C,6.0,5.0,5.0,4.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
F,3.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
D,5.0,4.0,4.0,3.0,3.0,2.0,0.0,2.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0
H,5.0,4.0,4.0,3.0,3.0,2.0,2.0,0.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0
E,7.0,6.0,6.0,5.0,1.0,4.0,4.0,4.0,0.0,2.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0
V,5.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
M,7.0,6.0,6.0,5.0,1.0,4.0,4.0,4.0,2.0,2.0,0.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0
