,AA,AE,Z,AD,O,A,O,AD,L,G,L,AC,L,AD,Z,I,AF,I,R,V,R,I,Z,AE,AA,F,K,F,AG,F,AA,N,B,N,U,N
AA,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3,4,3,4,5,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1
AE,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2,3,2,3,4,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2
Z,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,1,2,3,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3
AD,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,2,3,4,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4
O,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,3,4,5,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5
A,5,4,3,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,5,6,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6
O,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,3,4,5,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5
AD,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,2,3,4,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4
L,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,3,4,5,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5
G,5,4,3,2,3,4,3,2,1,0,1,2,1,2,3,4,5,4,5,6,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6
L,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,3,4,5,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5
AC,5,4,3,2,3,4,3,2,1,2,1,0,1,2,3,4,5,4,5,6,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6
L,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,3,4,5,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5
AD,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,2,3,4,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4
Z,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,1,2,3,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3
I,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4
AF,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,3,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5
I,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4
R,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,2,1,0,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5
V,5,4,3,4,5,6,5,4,5,6,5,6,5,4,3,2,3,2,1,0,1,2,3,4,5,6,7,6,7,6,5,6,7,6,7,6
R,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,2,1,0,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5
I,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4
Z,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,1,2,3,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3
AE,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2,3,2,3,4,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2
AA,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3,4,3,4,5,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1
F,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,4,5,6,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2
K,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,5,6,7,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3
F,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,4,5,6,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2
AG,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,5,6,7,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3
F,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,4,5,6,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2
AA,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3,4,3,4,5,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1
N,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,4,5,6,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
B,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,5,6,7,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1
N,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,4,5,6,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
U,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,5,6,7,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1
N,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,4,5,6,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
