,U,N,B,N,AA,F,K,F,AG,F,AA,AE,Z,AD,O,A,O,AD,L,G,L,AC,L,AD,Z,I,R,V,R,I,AF,I,Z,AE
U,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,7,6,5,6,5,4,3
N,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,6,5,4,5,4,3,2
B,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,7,6,5,6,5,4,3
N,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,6,5,4,5,4,3,2
AA,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3,4,5,4,3,4,3,2,1
F,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,6,5,4,5,4,3,2
K,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,7,6,5,6,5,4,3
F,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,6,5,4,5,4,3,2
AG,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,7,6,5,6,5,4,3
F,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,6,5,4,5,4,3,2
AA,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3,4,5,4,3,4,3,2,1
AE,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2,3,4,3,2,3,2,1,0
Z,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,1,2,1,0,1
AD,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2,3,2,1,2
O,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,3,4,3,2,3
A,7,6,7,6,5,6,7,6,7,6,5,4,3,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,4,5,4,3,4
O,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,3,4,3,2,3
AD,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2,3,2,1,2
L,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3,4,3,2,3
G,7,6,7,6,5,6,7,6,7,6,5,4,3,2,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,4,5,4,3,4
L,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3,4,3,2,3
AC,7,6,7,6,5,6,7,6,7,6,5,4,3,2,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,4,5,4,3,4
L,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3,4,3,2,3
AD,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2,3,2,1,2
Z,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,1,2,1,0,1
I,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0,1,0,1,2
R,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,2,1,2,3
V,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,3,2,3,4
R,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,2,1,2,3
I,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0,1,0,1,2
AF,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,1,0,1,2,3
I,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0,1,0,1,2
Z,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,1,2,1,0,1
AE,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2,3,4,3,2,3,2,1,0
