,G,B,H,A,Y,W,AB,C,D,AD,K,L,E,I,F,T,V,P,Q,AA,Z,M,O,N,AC,J,R,U,S,X
G,0.0,8.0,8.0,5.0,1.0,7.0,7.0,6.0,6.0,4.0,2.0,2.0,8.0,6.0,8.0,8.0,5.0,3.0,3.0,5.0,7.0,6.0,4.0,4.0,4.0,6.0,8.0,7.0,8.0,8.0
B,8.0,0.0,4.0,7.0,7.0,1.0,3.0,8.0,8.0,6.0,6.0,8.0,2.0,2.0,6.0,4.0,7.0,7.0,5.0,3.0,5.0,8.0,8.0,8.0,4.0,4.0,6.0,5.0,6.0,6.0
H,8.0,4.0,0.0,7.0,7.0,3.0,1.0,8.0,8.0,6.0,6.0,8.0,4.0,2.0,6.0,2.0,7.0,7.0,5.0,3.0,5.0,8.0,8.0,8.0,4.0,4.0,6.0,5.0,6.0,6.0
A,5.0,7.0,7.0,0.0,4.0,6.0,6.0,3.0,1.0,1.0,3.0,5.0,7.0,5.0,7.0,7.0,2.0,4.0,2.0,4.0,6.0,3.0,5.0,5.0,3.0,5.0,7.0,6.0,7.0,7.0
Y,1.0,7.0,7.0,4.0,0.0,6.0,6.0,5.0,5.0,3.0,1.0,1.0,7.0,5.0,7.0,7.0,4.0,2.0,2.0,4.0,6.0,5.0,3.0,3.0,3.0,5.0,7.0,6.0,7.0,7.0
W,7.0,1.0,3.0,6.0,6.0,0.0,2.0,7.0,7.0,5.0,5.0,7.0,1.0,1.0,5.0,3.0,6.0,6.0,4.0,2.0,4.0,7.0,7.0,7.0,3.0,3.0,5.0,4.0,5.0,5.0
AB,7.0,3.0,1.0,6.0,6.0,2.0,0.0,7.0,7.0,5.0,5.0,7.0,3.0,1.0,5.0,1.0,6.0,6.0,4.0,2.0,4.0,7.0,7.0,7.0,3.0,3.0,5.0,4.0,5.0,5.0
C,6.0,8.0,8.0,3.0,5.0,7.0,7.0,0.0,4.0,2.0,4.0,6.0,8.0,6.0,8.0,8.0,1.0,5.0,3.0,5.0,7.0,2.0,6.0,6.0,4.0,6.0,8.0,7.0,8.0,8.0
D,6.0,8.0,8.0,1.0,5.0,7.0,7.0,4.0,0.0,2.0,4.0,6.0,8.0,6.0,8.0,8.0,3.0,5.0,3.0,5.0,7.0,4.0,6.0,6.0,4.0,6.0,8.0,7.0,8.0,8.0
AD,4.0,6.0,6.0,1.0,3.0,5.0,5.0,2.0,2.0,0.0,2.0,4.0,6.0,4.0,6.0,6.0,1.0,3.0,1.0,3.0,5.0,2.0,4.0,4.0,2.0,4.0,6.0,5.0,6.0,6.0
K,2.0,6.0,6.0,3.0,1.0,5.0,5.0,4.0,4.0,2.0,0.0,2.0,6.0,4.0,6.0,6.0,3.0,1.0,1.0,3.0,5.0,4.0,2.0,2.0,2.0,4.0,6.0,5.0,6.0,6.0
L,2.0,8.0,8.0,5.0,1.0,7.0,7.0,6.0,6.0,4.0,2.0,0.0,8.0,6.0,8.0,8.0,5.0,3.0,3.0,5.0,7.0,6.0,4.0,4.0,4.0,6.0,8.0,7.0,8.0,8.0
E,8.0,2.0,4.0,7.0,7.0,1.0,3.0,8.0,8.0,6.0,6.0,8.0,0.0,2.0,6.0,4.0,7.0,7.0,5.0,3.0,5.0,8.0,8.0,8.0,4.0,4.0,6.0,5.0,6.0,6.0
I,6.0,2.0,2.0,5.0,5.0,1.0,1.0,6.0,6.0,4.0,4.0,6.0,2.0,0.0,4.0,2.0,5.0,5.0,3.0,1.0,3.0,6.0,6.0,6.0,2.0,2.0,4.0,3.0,4.0,4.0
F,8.0,6.0,6.0,7.0,7.0,5.0,5.0,8.0,8.0,6.0,6.0,8.0,6.0,4.0,0.0,6.0,7.0,7.0,5.0,3.0,1.0,8.0,8.0,8.0,4.0,2.0,2.0,3.0,4.0,4.0
T,8.0,4.0,2.0,7.0,7.0,3.0,1.0,8.0,8.0,6.0,6.0,8.0,4.0,2.0,6.0,0.0,7.0,7.0,5.0,3.0,5.0,8.0,8.0,8.0,4.0,4.0,6.0,5.0,6.0,6.0
V,5.0,7.0,7.0,2.0,4.0,6.0,6.0,1.0,3.0,1.0,3.0,5.0,7.0,5.0,7.0,7.0,0.0,4.0,2.0,4.0,6.0,1.0,5.0,5.0,3.0,5.0,7.0,6.0,7.0,7.0
P,3.0,7.0,7.0,4.0,2.0,6.0,6.0,5.0,5.0,3.0,1.0,3.0,7.0,5.0,7.0,7.0,4.0,0.0,2.0,4.0,6.0,5.0,1.0,1.0,3.0,5.0,7.0,6.0,7.0,7.0
Q,3.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,2.0,2.0,0.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,5.0,4.0,5.0,5.0
AA,5.0,3.0,3.0,4.0,4.0,2.0,2.0,5.0,5.0,3.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0,0.0,2.0,5.0,5.0,5.0,1.0,1.0,3.0,2.0,3.0,3.0
Z,7.0,5.0,5.0,6.0,6.0,4.0,4.0,7.0,7.0,5.0,5.0,7.0,5.0,3.0,1.0,5.0,6.0,6.0,4.0,2.0,0.0,7.0,7.0,7.0,3.0,1.0,1.0,2.0,3.0,3.0
M,6.0,8.0,8.0,3.0,5.0,7.0,7.0,2.0,4.0,2.0,4.0,6.0,8.0,6.0,8.0,8.0,1.0,5.0,3.0,5.0,7.0,0.0,6.0,6.0,4.0,6.0,8.0,7.0,8.0,8.0
O,4.0,8.0,8.0,5.0,3.0,7.0,7.0,6.0,6.0,4.0,2.0,4.0,8.0,6.0,8.0,8.0,5.0,1.0,3.0,5.0,7.0,6.0,0.0,2.0,4.0,6.0,8.0,7.0,8.0,8.0
N,4.0,8.0,8.0,5.0,3.0,7.0,7.0,6.0,6.0,4.0,2.0,4.0,8.0,6.0,8.0,8.0,5.0,1.0,3.0,5.0,7.0,6.0,2.0,0.0,4.0,6.0,8.0,7.0,8.0,8.0
AC,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,3.0,4.0,4.0
J,6.0,4.0,4.0,5.0,5.0,3.0,3.0,6.0,6.0,4.0,4.0,6.0,4.0,2.0,2.0,4.0,5.0,5.0,3.0,1.0,1.0,6.0,6.0,6.0,2.0,0.0,2.0,1.0,2.0,2.0
R,8.0,6.0,6.0,7.0,7.0,5.0,5.0,8.0,8.0,6.0,6.0,8.0,6.0,4.0,2.0,6.0,7.0,7.0,5.0,3.0,1.0,8.0,8.0,8.0,4.0,2.0,0.0,3.0,4.0,4.0
U,7.0,5.0,5.0,6.0,6.0,4.0,4.0,7.0,7.0,5.0,5.0,7.0,5.0,3.0,3.0,5.0,6.0,6.0,4.0,2.0,2.0,7.0,7.0,7.0,3.0,1.0,3.0,0.0,1.0,1.0
S,8.0,6.0,6.0,7.0,7.0,5.0,5.0,8.0,8.0,6.0,6.0,8.0,6.0,4.0,4.0,6.0,7.0,7.0,5.0,3.0,3.0,8.0,8.0,8.0,4.0,2.0,4.0,1.0,0.0,2.0
X,8.0,6.0,6.0,7.0,7.0,5.0,5.0,8.0,8.0,6.0,6.0,8.0,6.0,4.0,4.0,6.0,7.0,7.0,5.0,3.0,3.0,8.0,8.0,8.0,4.0,2.0,4.0,1.0,2.0,0.0
