,AE,X,Y,X,E,P,AB,P,E,I,U,Q,M,Q,AA,Q,U,V,AD,V,G,V,U,I,E,X,AE
AE,0,1,2,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0
X,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1
Y,2,1,0,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2
X,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1
E,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2
P,3,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3
AB,4,3,4,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4
P,3,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3
E,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2
I,3,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3
U,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4
Q,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5
M,6,5,6,5,4,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6
Q,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5
AA,6,5,6,5,4,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6
Q,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5
U,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4
V,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5
AD,6,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6
V,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5
G,6,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6
V,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5
U,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4
I,3,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3
E,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2
X,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1
AE,0,1,2,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0
