,B,T,F,L,K,S,K,L,Z,L,F,R,N,W,J,W,C,W,N,D,O,D,H,D,N,R,F,T,A,T,B
B,0,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0
T,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1
F,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2
L,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3
K,4,3,2,1,0,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4
S,5,4,3,2,1,0,1,2,3,2,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,4,5
K,4,3,2,1,0,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4
L,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3
Z,4,3,2,1,2,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4
L,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3
F,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2
R,3,2,1,2,3,4,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3
N,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4
W,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5
J,6,5,4,5,6,7,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6
W,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5
C,6,5,4,5,6,7,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6
W,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5
N,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4
D,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5
O,6,5,4,5,6,7,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6
D,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5
H,6,5,4,5,6,7,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6
D,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5
N,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4
R,3,2,1,2,3,4,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3
F,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2
T,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1
A,2,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2
T,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1
B,0,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0
