,J,W,N,R,F,L,K,S,K,L,Z,L,F,T,A,T,B,T,F,R,N,D,O,D,H,D,N,W,C,W,J
J,0,1,2,3,4,5,6,7,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0
W,1,0,1,2,3,4,5,6,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1
N,2,1,0,1,2,3,4,5,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2
R,3,2,1,0,1,2,3,4,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3
F,4,3,2,1,0,1,2,3,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4
L,5,4,3,2,1,0,1,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5
K,6,5,4,3,2,1,0,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6
S,7,6,5,4,3,2,1,0,1,2,3,2,3,4,5,4,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7
K,6,5,4,3,2,1,0,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6
L,5,4,3,2,1,0,1,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5
Z,6,5,4,3,2,1,2,3,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6
L,5,4,3,2,1,0,1,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5
F,4,3,2,1,0,1,2,3,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4
T,5,4,3,2,1,2,3,4,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5
A,6,5,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6
T,5,4,3,2,1,2,3,4,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5
B,6,5,4,3,2,3,4,5,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6
T,5,4,3,2,1,2,3,4,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5
F,4,3,2,1,0,1,2,3,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4
R,3,2,1,0,1,2,3,4,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3
N,2,1,0,1,2,3,4,5,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2
D,3,2,1,2,3,4,5,6,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3
O,4,3,2,3,4,5,6,7,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4
D,3,2,1,2,3,4,5,6,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3
H,4,3,2,3,4,5,6,7,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4
D,3,2,1,2,3,4,5,6,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3
N,2,1,0,1,2,3,4,5,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2
W,1,0,1,2,3,4,5,6,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1
C,2,1,2,3,4,5,6,7,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2
W,1,0,1,2,3,4,5,6,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1
J,0,1,2,3,4,5,6,7,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0
