,A,C,H,E,B,L,Z,J,AC,D,F,M,Q,O,T,G,K,P,Y,AB,R,W,V,AD,S,I,AA,N,U,X
A,0.0,6.0,1.0,3.0,5.0,5.0,7.0,7.0,7.0,2.0,2.0,6.0,4.0,6.0,6.0,6.0,4.0,6.0,8.0,3.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,6.0
C,6.0,0.0,5.0,3.0,3.0,1.0,1.0,3.0,1.0,6.0,4.0,6.0,4.0,6.0,4.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,6.0,6.0
H,1.0,5.0,0.0,2.0,4.0,4.0,6.0,6.0,6.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,7.0,2.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,5.0
E,3.0,3.0,2.0,0.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
B,5.0,3.0,4.0,2.0,0.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0
L,5.0,1.0,4.0,2.0,2.0,0.0,2.0,2.0,2.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0
Z,7.0,1.0,6.0,4.0,4.0,2.0,0.0,4.0,2.0,7.0,5.0,7.0,5.0,7.0,5.0,5.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,7.0,7.0,7.0
J,7.0,3.0,6.0,4.0,4.0,2.0,4.0,0.0,4.0,7.0,5.0,7.0,5.0,7.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,7.0,7.0,7.0
AC,7.0,1.0,6.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,5.0,7.0,5.0,7.0,5.0,5.0,3.0,3.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,7.0,7.0,7.0
D,2.0,6.0,1.0,3.0,5.0,5.0,7.0,7.0,7.0,0.0,2.0,6.0,4.0,6.0,6.0,6.0,4.0,6.0,8.0,3.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,6.0
F,2.0,4.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,2.0,0.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,6.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0
M,6.0,6.0,5.0,3.0,5.0,5.0,7.0,7.0,7.0,6.0,4.0,0.0,2.0,4.0,6.0,6.0,4.0,6.0,8.0,5.0,1.0,3.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,4.0
Q,4.0,4.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,2.0,0.0,2.0,4.0,4.0,2.0,4.0,6.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0
O,6.0,6.0,5.0,3.0,5.0,5.0,7.0,7.0,7.0,6.0,4.0,4.0,2.0,0.0,6.0,6.0,4.0,6.0,8.0,5.0,3.0,1.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,2.0
T,6.0,4.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,6.0,4.0,6.0,4.0,6.0,0.0,2.0,2.0,4.0,6.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0,5.0,6.0,6.0,6.0
G,6.0,4.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,6.0,4.0,6.0,4.0,6.0,2.0,0.0,2.0,4.0,6.0,5.0,5.0,5.0,3.0,3.0,1.0,1.0,5.0,6.0,6.0,6.0
K,4.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
P,6.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,6.0,4.0,6.0,4.0,6.0,4.0,4.0,2.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,6.0,6.0,6.0
Y,8.0,2.0,7.0,5.0,5.0,3.0,3.0,5.0,1.0,8.0,6.0,8.0,6.0,8.0,6.0,6.0,4.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,8.0,8.0,8.0
AB,3.0,5.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,3.0,1.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,7.0,0.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,5.0
R,5.0,5.0,4.0,2.0,4.0,4.0,6.0,6.0,6.0,5.0,3.0,1.0,1.0,3.0,5.0,5.0,3.0,5.0,7.0,4.0,0.0,2.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0
W,5.0,5.0,4.0,2.0,4.0,4.0,6.0,6.0,6.0,5.0,3.0,3.0,1.0,1.0,5.0,5.0,3.0,5.0,7.0,4.0,2.0,0.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,1.0
V,7.0,5.0,6.0,4.0,2.0,4.0,6.0,6.0,6.0,7.0,5.0,7.0,5.0,7.0,1.0,3.0,3.0,5.0,7.0,6.0,6.0,6.0,0.0,2.0,4.0,4.0,6.0,7.0,7.0,7.0
AD,7.0,5.0,6.0,4.0,2.0,4.0,6.0,6.0,6.0,7.0,5.0,7.0,5.0,7.0,1.0,3.0,3.0,5.0,7.0,6.0,6.0,6.0,2.0,0.0,4.0,4.0,6.0,7.0,7.0,7.0
S,7.0,5.0,6.0,4.0,2.0,4.0,6.0,6.0,6.0,7.0,5.0,7.0,5.0,7.0,3.0,1.0,3.0,5.0,7.0,6.0,6.0,6.0,4.0,4.0,0.0,2.0,6.0,7.0,7.0,7.0
I,7.0,5.0,6.0,4.0,2.0,4.0,6.0,6.0,6.0,7.0,5.0,7.0,5.0,7.0,3.0,1.0,3.0,5.0,7.0,6.0,6.0,6.0,4.0,4.0,2.0,0.0,6.0,7.0,7.0,7.0
AA,7.0,3.0,6.0,4.0,4.0,2.0,4.0,2.0,4.0,7.0,5.0,7.0,5.0,7.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,7.0,7.0,7.0
N,4.0,6.0,3.0,3.0,5.0,5.0,7.0,7.0,7.0,4.0,2.0,6.0,4.0,6.0,6.0,6.0,4.0,6.0,8.0,1.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,0.0,2.0,6.0
U,4.0,6.0,3.0,3.0,5.0,5.0,7.0,7.0,7.0,4.0,2.0,6.0,4.0,6.0,6.0,6.0,4.0,6.0,8.0,1.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,2.0,0.0,6.0
X,6.0,6.0,5.0,3.0,5.0,5.0,7.0,7.0,7.0,6.0,4.0,4.0,2.0,2.0,6.0,6.0,4.0,6.0,8.0,5.0,3.0,1.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,0.0
