,AD,R,J,K,Y,K,AB,K,J,I,Z,C,L,C,AA,C,Z,S,O,S,Z,I,J,R,D,R,AD
AD,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,4,3,2,1,2,1,0
R,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1
J,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2
K,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3
Y,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,4,3,2,3,4,3,4
K,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3
AB,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,4,3,2,3,4,3,4
K,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3
J,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2
I,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,1,0,1,2,3,2,3
Z,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4
C,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5
L,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,2,3,4,5,6,5,6
C,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5
AA,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,2,3,4,5,6,5,6
C,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5
Z,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4
S,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,3,4,5,4,5
O,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,3,4,5,6,5,6
S,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,3,4,5,4,5
Z,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4
I,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,1,0,1,2,3,2,3
J,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2
R,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1
D,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,4,3,2,1,0,1,2
R,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1
AD,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,4,3,2,1,2,1,0
