,R,AD,R,D,R,J,I,Z,C,L,C,AA,C,Z,S,O,S,Z,I,J,K,Y,K,AB,K,J,R
R,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0
AD,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1
R,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0
D,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1
R,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0
J,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1
I,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2
Z,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3
C,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4
L,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5
C,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4
AA,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5
C,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4
Z,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3
S,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4
O,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5
S,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4
Z,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3
I,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2
J,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1
K,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2
Y,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,4,3,2,1,0,1,2,1,2,3
K,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2
AB,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,4,3,2,1,2,1,0,1,2,3
K,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2
J,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1
R,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0
