,Q,N,Q,P,W,U,W,B,W,P,M,AC,G,V,G,A,G,AC,T,F,T,E,T,AC,M,P,Q,X,Q
Q,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0
N,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1
Q,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0
P,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1
W,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2
U,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3
W,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2
B,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3
W,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2
P,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1
M,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2
AC,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3
G,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4
V,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5
G,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4
A,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5
G,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4
AC,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3
T,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4
F,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5
T,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4
E,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5
T,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4
AC,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3
M,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2
P,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1
Q,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0
X,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1
Q,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0
