,L,C,Z,I,J,R,AD,R,D,R,J,K,Y,K,AB,K,J,I,Z,S,O,S,Z,C,AA,C,L
L,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,2,1,2,1,0
C,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,1,0,1,0,1
Z,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0,1,2,1,2
I,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,1,2,3,2,3
J,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2,3,4,3,4
R,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,3,4,5,4,5
AD,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,4,5,6,5,6
R,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,3,4,5,4,5
D,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,4,5,6,5,6
R,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,3,4,5,4,5
J,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2,3,4,3,4
K,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3,4,5,4,5
Y,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,4,5,6,5,6
K,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3,4,5,4,5
AB,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,4,5,6,5,6
K,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,3,4,5,4,5
J,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,2,3,4,3,4
I,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,1,2,3,2,3
Z,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0,1,2,1,2
S,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,2,3,2,3
O,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,3,4,3,4
S,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,2,3,2,3
Z,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,0,1,2,1,2
C,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,1,0,1,0,1
AA,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,2,1,0,1,2
C,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,1,0,1,0,1
L,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,2,1,2,1,0
