,W,B,W,U,W,P,Q,X,Q,N,Q,P,M,AC,G,V,G,A,G,AC,T,F,T,E,T,AC,M,P,W
W,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
B,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1
W,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
U,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1
W,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
P,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
Q,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2
X,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3
Q,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2
N,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3
Q,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2
P,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
M,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2
AC,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
G,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
V,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5
G,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
A,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5
G,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
AC,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
T,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
F,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5
T,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
E,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5
T,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
AC,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
M,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2
P,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
W,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
