,A,B,G,F,Z,AD,E,C,H,D,I,N,V,Q,J,AB,L,M,U,P,K,AC,T,Y,S,O,R,W,AA,X
A,0.0,4.0,4.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0
B,4.0,0.0,4.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0
G,4.0,4.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,6.0,4.0,4.0,5.0,5.0
F,3.0,5.0,5.0,0.0,2.0,4.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,1.0,5.0,3.0,5.0,2.0,6.0,6.0,4.0,6.0,6.0,6.0,3.0,5.0,5.0,6.0,6.0
Z,1.0,3.0,3.0,2.0,0.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,1.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0
AD,1.0,5.0,5.0,4.0,2.0,0.0,2.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,3.0,5.0,3.0,5.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0
E,1.0,5.0,5.0,4.0,2.0,2.0,0.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,3.0,5.0,3.0,5.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0
C,5.0,3.0,5.0,6.0,4.0,6.0,6.0,0.0,4.0,2.0,4.0,4.0,6.0,6.0,5.0,1.0,3.0,5.0,6.0,6.0,2.0,4.0,6.0,6.0,6.0,7.0,5.0,5.0,6.0,6.0
H,5.0,1.0,5.0,6.0,4.0,6.0,6.0,4.0,0.0,2.0,2.0,4.0,6.0,6.0,5.0,3.0,3.0,5.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,7.0,5.0,5.0,6.0,6.0
D,3.0,1.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0
I,5.0,1.0,5.0,6.0,4.0,6.0,6.0,4.0,2.0,2.0,0.0,4.0,6.0,6.0,5.0,3.0,3.0,5.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,7.0,5.0,5.0,6.0,6.0
N,3.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0
V,5.0,5.0,1.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,0.0,2.0,5.0,5.0,3.0,3.0,6.0,6.0,6.0,4.0,6.0,4.0,4.0,7.0,5.0,5.0,6.0,6.0
Q,5.0,5.0,1.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,2.0,2.0,0.0,5.0,5.0,3.0,3.0,6.0,6.0,6.0,4.0,6.0,4.0,4.0,7.0,5.0,5.0,6.0,6.0
J,2.0,4.0,4.0,1.0,1.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,0.0,4.0,2.0,4.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0
AB,4.0,2.0,4.0,5.0,3.0,5.0,5.0,1.0,3.0,1.0,3.0,3.0,5.0,5.0,4.0,0.0,2.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0
L,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0
M,4.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,3.0,4.0,4.0,2.0,0.0,5.0,5.0,5.0,3.0,5.0,1.0,1.0,6.0,4.0,4.0,5.0,5.0
U,3.0,5.0,5.0,2.0,2.0,4.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,1.0,5.0,3.0,5.0,0.0,6.0,6.0,4.0,6.0,6.0,6.0,1.0,5.0,5.0,6.0,6.0
P,5.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,5.0,5.0,3.0,5.0,6.0,0.0,6.0,2.0,4.0,6.0,6.0,7.0,1.0,3.0,2.0,4.0
