,R,AD,N,L,K,L,U,L,N,Z,AA,O,W,F,W,O,AG,C,AG,AF,AG,O,AA,V,I,V,AB,P,AB,V,AA
R,0,1,2,3,4,3,4,3,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,5,6,7,6,5,4
AD,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,4,5,6,5,4,3
N,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3,4,3,4,5,4,3,2
L,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,4,5,6,5,4,3
K,4,3,2,1,0,1,2,1,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,5,6,7,6,5,4
L,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,4,5,6,5,4,3
U,4,3,2,1,2,1,0,1,2,3,4,5,6,7,6,5,6,7,6,7,6,5,4,5,6,5,6,7,6,5,4
L,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,4,5,4,5,6,5,4,3
N,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,3,4,3,4,5,4,3,2
Z,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,2,3,2,3,4,3,2,1
AA,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,1,2,3,2,1,0
O,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,2,3,4,3,2,1
W,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,3,4,5,4,3,2
F,7,6,5,6,7,6,7,6,5,4,3,2,1,0,1,2,3,4,3,4,3,2,3,4,5,4,5,6,5,4,3
W,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,3,4,5,4,3,2
O,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,2,3,4,3,2,1
AG,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,3,4,5,4,3,2
C,7,6,5,6,7,6,7,6,5,4,3,2,3,4,3,2,1,0,1,2,1,2,3,4,5,4,5,6,5,4,3
AG,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,3,4,5,4,3,2
AF,7,6,5,6,7,6,7,6,5,4,3,2,3,4,3,2,1,2,1,0,1,2,3,4,5,4,5,6,5,4,3
AG,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,3,4,5,4,3,2
O,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,2,3,4,3,2,1
AA,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,1,2,3,2,1,0
V,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,0,1
I,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,3,2,1,2
V,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,0,1
AB,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,2,1,0,1,0,1,2
P,7,6,5,6,7,6,7,6,5,4,3,4,5,6,5,4,5,6,5,6,5,4,3,2,3,2,1,0,1,2,3
AB,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,5,4,5,4,3,2,1,2,1,0,1,0,1,2
V,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,0,1,2,1,0,1
AA,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,1,2,3,2,1,0
