,H,AE,G,AH,M,AH,AC,AH,G,B,E,B,Y,B,G,AE,H,T,S,T,AI,T,H,X,D,X,Q,X,H
H,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0
AE,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1
G,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2
AH,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3
M,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4
AH,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3
AC,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4
AH,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3
G,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2
B,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3
E,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4
B,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3
Y,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4
B,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3
G,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2
AE,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1
H,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0
T,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1
S,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2
T,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1
AI,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2
T,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1
H,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0
X,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1
D,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2
X,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1
Q,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2
X,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1
H,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0
