,AH,G,AE,H,T,AI,T,S,T,H,X,Q,X,D,X,H,AE,G,B,Y,B,E,B,G,AH,AC,AH,M,AH
AH,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
G,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1
AE,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2
H,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3
T,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4
AI,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5
T,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4
S,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5
T,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4
H,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3
X,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4
Q,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5
X,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4
D,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5
X,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4
H,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3
AE,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2
G,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1
B,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2
Y,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3
B,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2
E,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3
B,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2
G,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1
AH,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
AC,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1
AH,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
M,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1
AH,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0
