,L,K,L,N,Z,AA,O,AG,AF,AG,C,AG,O,W,F,W,O,AA,V,AB,P,AB,V,I,V,AA,Z,N,AD,A,AD,R,AD,N
L,0,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1
K,1,0,1,2,3,4,5,6,7,6,7,6,5,6,7,6,5,4,5,6,7,6,5,6,5,4,3,2,3,4,3,4,3,2
L,0,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,4,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1
N,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0
Z,2,3,2,1,0,1,2,3,4,3,4,3,2,3,4,3,2,1,2,3,4,3,2,3,2,1,0,1,2,3,2,3,2,1
AA,3,4,3,2,1,0,1,2,3,2,3,2,1,2,3,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2
O,4,5,4,3,2,1,0,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3
AG,5,6,5,4,3,2,1,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4
AF,6,7,6,5,4,3,2,1,0,1,2,1,2,3,4,3,2,3,4,5,6,5,4,5,4,3,4,5,6,7,6,7,6,5
AG,5,6,5,4,3,2,1,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4
C,6,7,6,5,4,3,2,1,2,1,0,1,2,3,4,3,2,3,4,5,6,5,4,5,4,3,4,5,6,7,6,7,6,5
AG,5,6,5,4,3,2,1,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4
O,4,5,4,3,2,1,0,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3
W,5,6,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4
F,6,7,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,3,4,5,6,5,4,5,4,3,4,5,6,7,6,7,6,5
W,5,6,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4
O,4,5,4,3,2,1,0,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3
AA,3,4,3,2,1,0,1,2,3,2,3,2,1,2,3,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2
V,4,5,4,3,2,1,2,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3
AB,5,6,5,4,3,2,3,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,2,1,2,3,4,5,6,5,6,5,4
P,6,7,6,5,4,3,4,5,6,5,6,5,4,5,6,5,4,3,2,1,0,1,2,3,2,3,4,5,6,7,6,7,6,5
AB,5,6,5,4,3,2,3,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,2,1,2,3,4,5,6,5,6,5,4
V,4,5,4,3,2,1,2,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3
I,5,6,5,4,3,2,3,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,1,0,1,2,3,4,5,6,5,6,5,4
V,4,5,4,3,2,1,2,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3
AA,3,4,3,2,1,0,1,2,3,2,3,2,1,2,3,2,1,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2
Z,2,3,2,1,0,1,2,3,4,3,4,3,2,3,4,3,2,1,2,3,4,3,2,3,2,1,0,1,2,3,2,3,2,1
N,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0
AD,2,3,2,1,2,3,4,5,6,5,6,5,4,5,6,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1
A,3,4,3,2,3,4,5,6,7,6,7,6,5,6,7,6,5,4,5,6,7,6,5,6,5,4,3,2,1,0,1,2,1,2
AD,2,3,2,1,2,3,4,5,6,5,6,5,4,5,6,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1
R,3,4,3,2,3,4,5,6,7,6,7,6,5,6,7,6,5,4,5,6,7,6,5,6,5,4,3,2,1,2,1,0,1,2
AD,2,3,2,1,2,3,4,5,6,5,6,5,4,5,6,5,4,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1
N,1,2,1,0,1,2,3,4,5,4,5,4,3,4,5,4,3,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0
