,J,A,C,G,AB,E,B,Q,F,D,U,L,K,X,T,R,O,M,AC,Y,H,AD,I,AA,P,N,S,Z,W,V
J,0.0,5.0,5.0,5.0,1.0,7.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,4.0,2.0,2.0,6.0,6.0,5.0,5.0,3.0,3.0,5.0,6.0,6.0,4.0,4.0
A,5.0,0.0,4.0,4.0,4.0,6.0,1.0,3.0,5.0,1.0,1.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0
C,5.0,4.0,0.0,4.0,4.0,6.0,5.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0
G,5.0,4.0,4.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0
AB,1.0,4.0,4.0,4.0,0.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0
E,7.0,6.0,6.0,4.0,6.0,0.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,5.0,5.0,3.0,5.0,7.0,1.0,3.0,6.0,6.0,4.0,6.0,2.0,7.0,7.0,7.0,7.0
B,6.0,1.0,5.0,5.0,5.0,7.0,0.0,4.0,6.0,2.0,2.0,6.0,6.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,3.0,5.0,3.0,5.0,5.0,4.0,6.0,6.0,6.0
Q,6.0,3.0,5.0,5.0,5.0,7.0,4.0,0.0,6.0,4.0,2.0,6.0,6.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,1.0,5.0,3.0,5.0,5.0,2.0,6.0,6.0,6.0
F,6.0,5.0,3.0,5.0,5.0,7.0,6.0,6.0,0.0,6.0,4.0,4.0,4.0,2.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,1.0,3.0,5.0,5.0,6.0,2.0,6.0,6.0
D,6.0,1.0,5.0,5.0,5.0,7.0,2.0,4.0,6.0,0.0,2.0,6.0,6.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,3.0,5.0,3.0,5.0,5.0,4.0,6.0,6.0,6.0
U,4.0,1.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0
L,6.0,5.0,1.0,5.0,5.0,7.0,6.0,6.0,4.0,6.0,4.0,0.0,2.0,2.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,3.0,3.0,5.0,5.0,6.0,4.0,6.0,6.0
K,6.0,5.0,1.0,5.0,5.0,7.0,6.0,6.0,4.0,6.0,4.0,2.0,0.0,2.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,3.0,3.0,5.0,5.0,6.0,4.0,6.0,6.0
X,4.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0
T,6.0,5.0,5.0,1.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,0.0,2.0,2.0,4.0,6.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,6.0,6.0,6.0,6.0
R,6.0,5.0,5.0,1.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,2.0,0.0,2.0,4.0,6.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,6.0,6.0,6.0,6.0
O,4.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0
