,B,D,U,D,Y,D,B,Q,R,P,AB,P,R,AA,S,AA,AE,AA,R,Q,B,M,E,M,T,M,B
B,0,1,2,1,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0
D,1,0,1,0,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1
U,2,1,0,1,2,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2
D,1,0,1,0,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1
Y,2,1,2,1,0,1,2,3,4,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2
D,1,0,1,0,1,0,1,2,3,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1
B,0,1,2,1,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0
Q,1,2,3,2,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1
R,2,3,4,3,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2
P,3,4,5,4,5,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3
AB,4,5,6,5,6,5,4,3,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4
P,3,4,5,4,5,4,3,2,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3
R,2,3,4,3,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2
AA,3,4,5,4,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3
S,4,5,6,5,6,5,4,3,2,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4
AA,3,4,5,4,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3
AE,4,5,6,5,6,5,4,3,2,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4
AA,3,4,5,4,5,4,3,2,1,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3
R,2,3,4,3,4,3,2,1,0,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2
Q,1,2,3,2,3,2,1,0,1,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1
B,0,1,2,1,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0
M,1,2,3,2,3,2,1,2,3,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1
E,2,3,4,3,4,3,2,3,4,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2
M,1,2,3,2,3,2,1,2,3,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1
T,2,3,4,3,4,3,2,3,4,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2
M,1,2,3,2,3,2,1,2,3,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1
B,0,1,2,1,2,1,0,1,2,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0
