,AE,AA,S,AA,R,P,AB,P,R,Q,B,D,U,D,Y,D,B,M,T,M,E,M,B,Q,R,AA,AE
AE,0,1,2,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0
AA,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1
S,2,1,0,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2
AA,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1
R,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2
P,3,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3
AB,4,3,4,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4
P,3,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3
R,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2
Q,3,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3
B,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4
D,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5
U,6,5,6,5,4,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6
D,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5
Y,6,5,6,5,4,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6
D,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5
B,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4
M,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5
T,6,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6
M,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5
E,6,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6
M,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5
B,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4
Q,3,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3
R,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2
AA,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1
AE,0,1,2,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0
