,G,V,I,V,AC,V,G,AD,K,N,X,N,O,N,K,A,J,A,Z,A,K,AD,G,L,F,W,F,L,H,L,G
G,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,1,0
V,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,2,1
I,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,3,2
V,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,2,1
AC,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,5,4,3,4,3,2
V,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,4,3,2,3,2,1
G,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,1,0
AD,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,2,3,2,1
K,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,3,2
N,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,4,3
X,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,7,6,5,6,5,4
N,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,4,3
O,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,7,6,5,6,5,4
N,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,6,5,4,5,4,3
K,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,3,2
A,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,4,3
J,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,7,6,5,6,5,4
A,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,4,3
Z,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,7,6,5,6,5,4
A,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,6,5,4,5,4,3
K,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,5,4,3,4,3,2
AD,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,4,3,2,3,2,1
G,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,1,0
L,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,0,1
F,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,2,1,2
W,3,4,5,4,5,4,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,2,1,0,1,2,3,2,3
F,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,0,1,2,1,2
L,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,0,1
H,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,3,2,1,0,1,2
L,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,2,1,0,1,0,1
G,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,1,0
