,G,L,F,W,F,L,H,L,G,AD,K,N,O,N,X,N,K,A,Z,A,J,A,K,AD,G,V,AC,V,I,V,G
G,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0
L,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1
F,2,1,0,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2
W,3,2,1,0,1,2,3,2,3,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,4,5,4,3
F,2,1,0,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2
L,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1
H,2,1,2,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2
L,1,0,1,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1
G,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0
AD,1,2,3,4,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1
K,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2
N,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3
O,4,5,6,7,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4
N,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3
X,4,5,6,7,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4
N,3,4,5,6,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3
K,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2
A,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3
Z,4,5,6,7,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4
A,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3
J,4,5,6,7,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4
A,3,4,5,6,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3
K,2,3,4,5,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2
AD,1,2,3,4,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1
G,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0
V,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1
AC,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2
V,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1
I,2,3,4,5,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2
V,1,2,3,4,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1
G,0,1,2,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0
