,K,O,E,U,E,X,E,O,Z,AC,Z,M,Z,O,K,Q,J,D,J,V,J,Q,S,L,S,N,AD,N,S,Q,K
K,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,4,3,2,1,0
O,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,5,4,3,2,1
E,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2
U,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,7,6,5,4,3
E,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2
X,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,7,6,5,4,3
E,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2
O,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,5,4,3,2,1
Z,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2
AC,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,7,6,5,4,3
Z,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2
M,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,7,6,5,4,3
Z,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2
O,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,5,4,3,2,1
K,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,4,3,2,1,0
Q,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,3,2,1,0,1
J,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,4,3,2,1,2
D,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,5,4,3,2,3
J,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,4,3,2,1,2
V,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,5,4,3,2,3
J,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,4,3,2,1,2
Q,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,3,2,1,0,1
S,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,1,0,1,2
L,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3
S,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,1,0,1,2
N,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,0,1,2,3
AD,4,5,6,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,4,5,4,3,2,3,2,1,0,1,2,3,4
N,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,0,1,2,3
S,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,1,0,1,2
Q,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,3,2,1,0,1
K,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,4,3,2,1,0
