,I,R,I,B,I,H,T,P,T,H,A,AA,AB,Y,AB,AE,AB,AA,G,F,G,W,G,AA,A,H,I
I,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
R,1,0,1,2,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1
I,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
B,1,2,1,0,1,2,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,1
I,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
H,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
T,2,3,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2
P,3,4,3,4,3,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,5,4,3,2,3
T,2,3,2,3,2,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,2
H,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
A,2,3,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2
AA,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
AB,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
Y,5,6,5,6,5,4,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,3,2,3,4,5
AB,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
AE,5,6,5,6,5,4,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,5
AB,4,5,4,5,4,3,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,2,1,2,3,4
AA,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
G,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
F,5,6,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,3,4,5
G,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
W,5,6,5,6,5,4,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,2,3,4,5
G,4,5,4,5,4,3,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,0,1,2,3,4
AA,3,4,3,4,3,2,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,1,0,1,2,3
A,2,3,2,3,2,1,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,2,1,0,1,2
H,1,2,1,2,1,0,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,3,2,1,0,1
I,0,1,0,1,0,1,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,4,3,2,1,0
