,U,E,X,E,O,Z,AC,Z,M,Z,O,K,Q,J,D,J,V,J,Q,S,L,S,N,AD,N,S,Q,K,O,E,U
U,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,7,6,5,4,3,2,1,0
E,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2,1,0,1
X,2,1,0,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,7,6,5,4,3,2,1,2
E,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2,1,0,1
O,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,5,4,3,2,1,0,1,2
Z,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2,1,2,3
AC,4,3,4,3,2,1,0,1,2,1,2,3,4,5,6,5,6,5,4,5,6,5,6,7,6,5,4,3,2,3,4
Z,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2,1,2,3
M,4,3,4,3,2,1,2,1,0,1,2,3,4,5,6,5,6,5,4,5,6,5,6,7,6,5,4,3,2,3,4
Z,3,2,3,2,1,0,1,0,1,0,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2,1,2,3
O,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,5,4,3,2,1,0,1,2
K,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,4,3,2,1,0,1,2,3
Q,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,3,2,1,0,1,2,3,4
J,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,4,3,2,1,2,3,4,5
D,6,5,6,5,4,5,6,5,6,5,4,3,2,1,0,1,2,1,2,3,4,3,4,5,4,3,2,3,4,5,6
J,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,4,3,2,1,2,3,4,5
V,6,5,6,5,4,5,6,5,6,5,4,3,2,1,2,1,0,1,2,3,4,3,4,5,4,3,2,3,4,5,6
J,5,4,5,4,3,4,5,4,5,4,3,2,1,0,1,0,1,0,1,2,3,2,3,4,3,2,1,2,3,4,5
Q,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,3,2,1,0,1,2,3,4
S,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,1,0,1,2,3,4,5
L,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,0,1,2,3,2,1,2,3,4,5,6
S,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,1,0,1,2,3,4,5
N,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,0,1,2,3,4,5,6
AD,7,6,7,6,5,6,7,6,7,6,5,4,3,4,5,4,5,4,3,2,3,2,1,0,1,2,3,4,5,6,7
N,6,5,6,5,4,5,6,5,6,5,4,3,2,3,4,3,4,3,2,1,2,1,0,1,0,1,2,3,4,5,6
S,5,4,5,4,3,4,5,4,5,4,3,2,1,2,3,2,3,2,1,0,1,0,1,2,1,0,1,2,3,4,5
Q,4,3,4,3,2,3,4,3,4,3,2,1,0,1,2,1,2,1,0,1,2,1,2,3,2,1,0,1,2,3,4
K,3,2,3,2,1,2,3,2,3,2,1,0,1,2,3,2,3,2,1,2,3,2,3,4,3,2,1,0,1,2,3
O,2,1,2,1,0,1,2,1,2,1,0,1,2,3,4,3,4,3,2,3,4,3,4,5,4,3,2,1,0,1,2
E,1,0,1,0,1,2,3,2,3,2,1,2,3,4,5,4,5,4,3,4,5,4,5,6,5,4,3,2,1,0,1
U,0,1,2,1,2,3,4,3,4,3,2,3,4,5,6,5,6,5,4,5,6,5,6,7,6,5,4,3,2,1,0
